id,data,categoria,subcategoria,descricao,valor,tipo,forma_pagamento,cliente_id
T0001,2026-03-01,Transporte,Estacionamento,Estapar,131.46,debito,Pix,CLI001
T0002,2026-03-02,Moradia,Água,Sabesp,414.89,debito,Pix,CLI001
T0003,2026-03-03,Transporte,Estacionamento,Estapar,109.81,debito,Cartão de Crédito,CLI001
T0004,2026-03-05,Salário,Salário Mensal,Crédito de Salário - Empregador,6200.0,credito,Transferência,CLI001
T0005,2026-03-05,Alimentação,Restaurante,Outback,213.36,debito,Cartão de Crédito,CLI001
T0006,2026-03-05,Assinaturas,Academia,Smart Fit,34.11,debito,Débito Automático,CLI001
T0007,2026-03-06,Saúde,Farmácia,Droga Raia,153.89,debito,Débito Automático,CLI001
T0008,2026-03-07,Lazer,Show/Evento,Ingresso Show,82.46,debito,Cartão de Crédito,CLI001
T0009,2026-03-10,Transporte,Estacionamento,Estapar,143.33,debito,Débito,CLI001
T0010,2026-03-11,Assinaturas,Academia,Smart Fit,22.78,debito,Cartão de Crédito,CLI001
T0011,2026-03-12,Moradia,Aluguel,Aluguel Apartamento,317.23,debito,Débito Automático,CLI001
T0012,2026-03-12,Educação,Curso Online,Alura,69.82,debito,Cartão de Crédito,CLI001
T0013,2026-03-12,Compras,Vestuário,Zara,63.61,debito,Pix,CLI001
T0014,2026-03-12,Assinaturas,Software,Adobe Creative Cloud,32.56,debito,Cartão de Crédito,CLI001
T0015,2026-03-13,Compras,Eletrônicos,Magazine Luiza,65.37,debito,Pix,CLI001
T0016,2026-03-14,Moradia,Energia,Enel Energia,254.08,debito,Débito Automático,CLI001
T0017,2026-03-15,Alimentação,Padaria,Padaria Bom Pão,177.23,debito,Cartão de Crédito,CLI001
T0018,2026-03-16,Moradia,Água,Sabesp,241.12,debito,Pix,CLI001
T0019,2026-03-16,Educação,Material,Livraria Cultura,62.21,debito,Débito Automático,CLI001
T0020,2026-03-17,Saúde,Plano de Saúde,Bradesco Saúde,198.68,debito,Débito Automático,CLI001
T0021,2026-03-17,Educação,Curso Online,Alura,39.41,debito,Débito Automático,CLI001
T0022,2026-03-20,Compras,Vestuário,Zara,42.63,debito,Cartão de Crédito,CLI001
T0023,2026-03-22,Lazer,Cinema,Cinemark,75.05,debito,Pix,CLI001
T0024,2026-03-22,Lazer,Viagem,Hotel,66.64,debito,Pix,CLI001
T0025,2026-03-23,Alimentação,Padaria,Padaria Central,157.61,debito,Pix,CLI001
T0026,2026-03-25,Assinaturas,Academia,Smart Fit,29.84,debito,Débito Automático,CLI001
T0027,2026-03-26,Transporte,Aplicativo,99,143.32,debito,Débito,CLI001
T0028,2026-03-26,Compras,Casa,Leroy Merlin,49.28,debito,Pix,CLI001
T0029,2026-03-27,Educação,Curso Online,Alura,67.77,debito,Débito Automático,CLI001
T0030,2026-03-27,Educação,Curso Online,Udemy,38.93,debito,Débito Automático,CLI001
T0031,2026-03-28,Alimentação,Supermercado,Carrefour,211.41,debito,Débito,CLI001
T0032,2026-03-28,Compras,Casa,Leroy Merlin,49.72,debito,Cartão de Crédito,CLI001
T0033,2026-04-03,Moradia,Água,Sabesp,223.82,debito,Pix,CLI001
T0034,2026-04-04,Lazer,Streaming,Spotify,55.6,debito,Cartão de Crédito,CLI001
T0035,2026-04-04,Saúde,Consulta,Consulta Médica,55.86,debito,Cartão de Crédito,CLI001
T0036,2026-04-04,Educação,Curso Online,Alura,113.87,debito,Cartão de Crédito,CLI001
T0037,2026-04-05,Salário,Salário Mensal,Crédito de Salário - Empregador,6200.0,credito,Transferência,CLI001
T0038,2026-04-05,Saúde,Farmácia,Droga Raia,79.28,debito,Cartão de Crédito,CLI001
T0039,2026-04-05,Educação,Curso Online,Alura,112.09,debito,Débito Automático,CLI001
T0040,2026-04-06,Assinaturas,Academia,Smart Fit,56.46,debito,Débito Automático,CLI001
T0041,2026-04-08,Alimentação,Padaria,Padaria Bom Pão,151.8,debito,Débito,CLI001
T0042,2026-04-09,Moradia,Internet,Vivo Fibra,222.41,debito,Pix,CLI001
T0043,2026-04-10,Alimentação,Supermercado,Carrefour,113.42,debito,Cartão de Crédito,CLI001
T0044,2026-04-10,Alimentação,Supermercado,Carrefour,167.0,debito,Pix,CLI001
T0045,2026-04-10,Lazer,Show/Evento,Ingresso Show,44.84,debito,Cartão de Crédito,CLI001
T0046,2026-04-10,Compras,Vestuário,Zara,79.3,debito,Pix,CLI001
T0047,2026-04-11,Saúde,Farmácia,Drogasil,71.39,debito,Débito Automático,CLI001
T0048,2026-04-12,Transporte,Estacionamento,Estapar,248.36,debito,Cartão de Crédito,CLI001
T0049,2026-04-12,Compras,Eletrônicos,Magazine Luiza,82.16,debito,Pix,CLI001
T0050,2026-04-13,Lazer,Show/Evento,Ingresso Show,51.25,debito,Cartão de Crédito,CLI001
T0051,2026-04-14,Alimentação,Delivery,iFood,162.8,debito,Cartão de Crédito,CLI001
T0052,2026-04-14,Moradia,Água,Sabesp,370.83,debito,Pix,CLI001
T0053,2026-04-15,Compras,Casa,Leroy Merlin,57.85,debito,Pix,CLI001
T0054,2026-04-17,Alimentação,Delivery,Rappi,111.65,debito,Pix,CLI001
T0055,2026-04-17,Assinaturas,Academia,Smart Fit,58.07,debito,Débito Automático,CLI001
T0056,2026-04-18,Transporte,Aplicativo,99,148.8,debito,Pix,CLI001
T0057,2026-04-20,Moradia,Água,Sabesp,292.44,debito,Pix,CLI001
T0058,2026-04-21,Moradia,Aluguel,Aluguel Apartamento,364.46,debito,Débito Automático,CLI001
T0059,2026-04-21,Compras,Eletrônicos,Magazine Luiza,53.88,debito,Pix,CLI001
T0060,2026-04-22,Saúde,Farmácia,Drogasil,85.67,debito,Débito Automático,CLI001
T0061,2026-04-24,Lazer,Viagem,Passagem Aérea,59.71,debito,Cartão de Crédito,CLI001
T0062,2026-05-01,Lazer,Show/Evento,Ingresso Show,38.92,debito,Pix,CLI001
T0063,2026-05-01,Educação,Material,Livraria Cultura,71.73,debito,Débito Automático,CLI001
T0064,2026-05-02,Compras,Eletrônicos,Magazine Luiza,95.48,debito,Cartão de Crédito,CLI001
T0065,2026-05-04,Transporte,Transporte Público,Bilhete Único,157.04,debito,Cartão de Crédito,CLI001
T0066,2026-05-04,Moradia,Aluguel,Aluguel Apartamento,214.78,debito,Pix,CLI001
T0067,2026-05-05,Salário,Salário Mensal,Crédito de Salário - Empregador,6200.0,credito,Transferência,CLI001
T0068,2026-05-05,Alimentação,Restaurante,Outback,252.49,debito,Cartão de Crédito,CLI001
T0069,2026-05-05,Transporte,Combustível,Posto Ipiranga,177.62,debito,Pix,CLI001
T0070,2026-05-05,Compras,Casa,Leroy Merlin,95.63,debito,Pix,CLI001
T0071,2026-05-07,Saúde,Plano de Saúde,Bradesco Saúde,75.03,debito,Cartão de Crédito,CLI001
T0072,2026-05-08,Lazer,Cinema,Cinemark,61.07,debito,Pix,CLI001
T0073,2026-05-10,Lazer,Show/Evento,Ingresso Show,47.44,debito,Pix,CLI001
T0074,2026-05-10,Assinaturas,Academia,Smart Fit,44.19,debito,Cartão de Crédito,CLI001
T0075,2026-05-11,Saúde,Farmácia,Drogasil,92.05,debito,Débito Automático,CLI001
T0076,2026-05-12,Compras,Casa,Leroy Merlin,95.45,debito,Pix,CLI001
T0077,2026-05-14,Saúde,Consulta,Consulta Médica,92.17,debito,Cartão de Crédito,CLI001
T0078,2026-05-16,Transporte,Combustível,Posto Ipiranga,127.22,debito,Cartão de Crédito,CLI001
T0079,2026-05-16,Moradia,Energia,Enel Energia,315.97,debito,Débito Automático,CLI001
T0080,2026-05-18,Moradia,Condomínio,Condomínio Edifício,298.87,debito,Pix,CLI001
T0081,2026-05-19,Lazer,Cinema,Cinemark,52.91,debito,Pix,CLI001
T0082,2026-05-19,Educação,Material,Livraria Cultura,88.49,debito,Cartão de Crédito,CLI001
